model,simulation,year,rate
M1_Poisson,783,2013,0.42003617791019365
M1_Poisson,783,2014,0.4786614423382399
M1_Poisson,783,2015,0.5007107881851209
M1_Poisson,783,2016,0.5414045849144877
M1_Poisson,783,2017,0.5774539877300614
M1_Poisson,783,2018,0.6054343666283964
M1_Poisson,783,2019,0.6207600102014792
M1_Poisson,783,2020,0.6676152215154559
M1_Poisson,783,2021,0.7322785468928905
M1_Poisson,783,2022,0.7721930979651668
M1_Poisson,783,2023,0.8309311040645719
M1_Poisson,783,2024,0.8705884938730495
M1_Poisson,784,2010,0.6835864141224447
M1_Poisson,784,2011,0.7058233726483547
M1_Poisson,784,2012,0.6938883733262626
M1_Poisson,784,2013,0.6844541391785487
M1_Poisson,784,2014,0.6645133961664724
M1_Poisson,784,2015,0.6810403832991104
M1_Poisson,784,2016,0.7334823517180433
M1_Poisson,784,2017,0.6646216768916157
M1_Poisson,784,2018,0.7148871029468044
M1_Poisson,784,2019,0.7049222137209895
M1_Poisson,784,2020,0.6980247740207567
M1_Poisson,784,2021,0.7135422088060789
M1_Poisson,784,2022,0.6926880170935923
M1_Poisson,784,2023,0.7185067742865379
M1_Poisson,784,2024,0.6940190972007196
M1_Poisson,785,2010,0.9980147019370071
M1_Poisson,785,2011,0.9775983535185624
M1_Poisson,785,2012,0.9813071722126473
M1_Poisson,785,2013,0.8898169823366674
M1_Poisson,785,2014,0.8609552049136925
M1_Poisson,785,2015,0.8405728426262309
M1_Poisson,785,2016,0.8405676560794303
M1_Poisson,785,2017,0.791155419222904
M1_Poisson,785,2018,0.7824977675723943
M1_Poisson,785,2019,0.75950012751849
M1_Poisson,785,2020,0.7248074991630399
M1_Poisson,785,2021,0.6833558863328822
M1_Poisson,785,2022,0.6817560684737508
M1_Poisson,785,2023,0.6279427308542327
M1_Poisson,785,2024,0.6178750182619178
M1_Poisson,786,2010,0.32086709234318833
M1_Poisson,786,2011,0.3095068471463627
M1_Poisson,786,2012,0.3184409386185867
M1_Poisson,786,2013,0.34874441370504367
M1_Poisson,786,2014,0.3288149952345652
M1_Poisson,786,2015,0.33854578002421953
M1_Poisson,786,2016,0.3542652180693455
M1_Poisson,786,2017,0.35557259713701433
M1_Poisson,786,2018,0.3946932006633499
M1_Poisson,786,2019,0.379750063759245
M1_Poisson,786,2020,0.3947662091284455
M1_Poisson,786,2021,0.3947642344124076
M1_Poisson,786,2022,0.42535218266292324
M1_Poisson,786,2023,0.41990967617949454
M1_Poisson,786,2024,0.43564785721023436
M1_Poisson,787,2010,0.7289263293448517
