year,country,accidents,train_km,country_name,year_centered,accidents_per_million_train_km,country_id
2012,EL,18.0,11.7,Greece,-5,1.5384615384615385,9
2013,EL,14.0,11.2,Greece,-4,1.25,9
2014,EL,23.0,11.5,Greece,-3,2.0,9
2015,EL,25.0,10.8,Greece,-2,2.314814814814815,9
2016,EL,13.0,10.4,Greece,-1,1.25,9
2017,EL,22.0,10.9,Greece,0,2.018348623853211,9
2018,EL,24.0,11.0,Greece,1,2.1818181818181817,9
2019,EL,18.0,11.1,Greece,2,1.6216216216216217,9
2020,EL,9.0,9.1,Greece,3,0.989010989010989,9
2021,EL,14.0,8.9,Greece,4,1.5730337078651684,9
2022,EL,19.0,10.8,Greece,5,1.759259259259259,9
2023,EL,7.0,7.1,Greece,6,0.9859154929577465,9
2024,EL,9.0,8.252,Greece,7,1.0906446921958313,9
2010,ES,45.0,186.7,Spain,-7,0.24102838778789504,10
2011,ES,42.0,191.4,Spain,-6,0.219435736677116,10
2012,ES,51.0,188.7,Spain,-5,0.2702702702702703,10
2013,ES,52.0,198.6,Spain,-4,0.2618328298086606,10
2014,ES,51.0,204.2,Spain,-3,0.2497551420176298,10
2015,ES,42.0,200.8,Spain,-2,0.2091633466135458,10
2016,ES,45.0,198.6,Spain,-1,0.22658610271903323,10
2017,ES,52.0,199.4,Spain,0,0.26078234704112335,10
2018,ES,47.0,199.9,Spain,1,0.2351175587793897,10
2019,ES,49.0,200.5,Spain,2,0.24438902743142144,10
2020,ES,51.0,150.5,Spain,3,0.3388704318936877,10
2021,ES,52.0,163.9,Spain,4,0.3172666259914582,10
2022,ES,59.0,184.6,Spain,5,0.3196099674972914,10
2023,ES,77.0,203.4,Spain,6,0.37856440511307765,10
2024,ES,57.0,207.63500000000002,Spain,7,0.2745201916825198,10
2010,FI,23.0,51.0,Finland,-7,0.45098039215686275,11
2011,FI,14.0,51.1,Finland,-6,0.273972602739726,11
2012,FI,21.0,50.9,Finland,-5,0.412573673870334,11
2013,FI,12.0,50.5,Finland,-4,0.2376237623762376,11
2014,FI,15.0,49.7,Finland,-3,0.30181086519114686,11
2015,FI,13.0,48.6,Finland,-2,0.2674897119341564,11
2016,FI,18.0,46.8,Finland,-1,0.38461538461538464,11
2017,FI,17.0,48.1,Finland,0,0.3534303534303534,11
2018,FI,15.0,50.4,Finland,1,0.2976190476190476,11
2019,FI,14.0,51.5,Finland,2,0.27184466019417475,11
2020,FI,12.0,46.8,Finland,3,0.25641025641025644,11
2021,FI,25.0,47.2,Finland,4,0.5296610169491525,11
2022,FI,17.0,48.8,Finland,5,0.3483606557377049,11
2023,FI,21.0,47.4,Finland,6,0.44303797468354433,11
2024,FI,11.0,48.599999999999994,Finland,7,0.2263374485596708,11
2010,FR,155.0,484.8,France,-7,0.3197194719471947,12
2011,FR,154.0,501.5,France,-6,0.3070787637088734,12
2012,FR,136.0,511.9,France,-5,0.26567689001758155,12
2013,FR,146.0,498.0,France,-4,0.2931726907630522,12
2014,FR,177.0,489.9,France,-3,0.36129822412737295,12
2015,FR,150.0,494.0,France,-2,0.30364372469635625,12
2016,FR,146.0,470.0,France,-1,0.31063829787234043,12
2017,FR,151.0,486.0,France,0,0.31069958847736623,12
2018,FR,119.0,443.0,France,1,0.2686230248306998,12
2019,FR,123.0,449.0,France,2,0.2739420935412027,12
2020,FR,104.0,354.0,France,3,0.2937853107344633,12
2021,FR,138.0,433.5,France,4,0.31833910034602075,12
2022,FR,134.0,470.6,France,5,0.2847428814279643,12
2023,FR,146.0,448.4,France,6,0.3256021409455843,12
2024,FR,140.0,480.217,France,7,0.2915348686114819,12
2010,HR,45.0,24.1,Croatia,-7,1.867219917012448,13
2011,HR,39.0,25.6,Croatia,-6,1.5234375,13
2012,HR,42.0,25.7,Croatia,-5,1.6342412451361867,13
2013,HR,33.0,22.5,Croatia,-4,1.4666666666666666,13
2014,HR,33.0,20.9,Croatia,-3,1.5789473684210527,13
2015,HR,27.0,20.9,Croatia,-2,1.291866028708134,13
2016,HR,23.0,20.8,Croatia,-1,1.1057692307692308,13
2017,HR,33.0,21.6,Croatia,0,1.5277777777777777,13
2018,HR,25.0,24.4,Croatia,1,1.0245901639344264,13
2019,HR,28.0,21.8,Croatia,2,1.2844036697247705,13
2020,HR,22.0,20.3,Croatia,3,1.083743842364532,13
2021,HR,22.0,20.9,Croatia,4,1.0526315789473686,13
2022,HR,24.0,21.0,Croatia,5,1.1428571428571428,13
2023,HR,18.0,20.4,Croatia,6,0.8823529411764707,13
2024,HR,17.0,20.099999999999998,Croatia,7,0.845771144278607,13
2010,HU,142.0,102.5,Hungary,-7,1.3853658536585365,14
2011,HU,147.0,109.8,Hungary,-6,1.3387978142076502,14
2012,HU,152.0,104.0,Hungary,-5,1.4615384615384615,14
2013,HU,186.0,104.0,Hungary,-4,1.7884615384615385,14
2014,HU,190.0,107.4,Hungary,-3,1.7690875232774672,14
2015,HU,156.0,108.7,Hungary,-2,1.4351425942962281,14
2016,HU,162.0,107.3,Hungary,-1,1.5097856477166822,14
2017,HU,160.0,108.4,Hungary,0,1.4760147601476015,14
2018,HU,162.0,108.3,Hungary,1,1.4958448753462603,14
2019,HU,142.0,107.7,Hungary,2,1.318477251624884,14
2020,HU,98.0,107.6,Hungary,3,0.9107806691449815,14
2021,HU,102.0,107.6,Hungary,4,0.9479553903345725,14
2022,HU,97.0,108.0,Hungary,5,0.8981481481481481,14
2023,HU,70.0,118.6,Hungary,6,0.5902192242833053,14
2024,HU,88.0,123.768,Hungary,7,0.7110076918104842,14
2010,IE,4.0,17.7,Ireland,-7,0.22598870056497175,15
2011,IE,2.0,18.1,Ireland,-6,0.11049723756906077,15
2012,IE,0.0,18.4,Ireland,-5,0.0,15
2013,IE,3.0,18.3,Ireland,-4,0.16393442622950818,15
2014,IE,3.0,18.3,Ireland,-3,0.16393442622950818,15
2015,IE,1.0,18.1,Ireland,-2,0.055248618784530384,15
2016,IE,0.0,18.2,Ireland,-1,0.0,15
2017,IE,4.0,18.7,Ireland,0,0.21390374331550802,15
2018,IE,6.0,18.2,Ireland,1,0.32967032967032966,15
2019,IE,2.0,19.1,Ireland,2,0.10471204188481674,15
2020,IE,0.0,15.6,Ireland,3,0.0,15
2021,IE,1.0,17.8,Ireland,4,0.056179775280898875,15
2022,IE,1.0,18.2,Ireland,5,0.054945054945054944,15
2023,IE,5.0,18.8,Ireland,6,0.26595744680851063,15
2024,IE,1.0,19.4,Ireland,7,0.051546391752577324,15
2010,IT,100.0,324.0,Italy,-7,0.30864197530864196,16
2011,IT,106.0,317.4,Italy,-6,0.33396345305608066,16
2012,IT,106.0,316.5,Italy,-5,0.334913112164297,16
2013,IT,98.0,331.6,Italy,-4,0.2955367913148371,16
2014,IT,109.0,330.6,Italy,-3,0.32970356926799754,16
2015,IT,97.0,340.5,Italy,-2,0.28487518355359764,16
2016,IT,99.0,373.5,Italy,-1,0.26506024096385544,16
2017,IT,104.0,374.6,Italy,0,0.2776294714361986,16
2018,IT,109.0,386.8,Italy,1,0.28179937952430195,16
2019,IT,75.0,387.4,Italy,2,0.19359834796076408,16
2020,IT,89.0,315.1,Italy,3,0.2824500158679784,16
2021,IT,90.0,364.6,Italy,4,0.24684585847504112,16
2022,IT,109.0,389.8,Italy,5,0.27963057978450484,16
2023,IT,113.0,394.4,Italy,6,0.2865111561866126,16
2024,IT,103.0,396.40000000000003,Italy,7,0.2598385469223007,16
2010,LT,44.0,14.1,Lithuania,-7,3.120567375886525,17
2011,LT,33.0,15.3,Lithuania,-6,2.156862745098039,17
2012,LT,26.0,14.7,Lithuania,-5,1.7687074829931975,17
2013,LT,24.0,14.1,Lithuania,-4,1.702127659574468,17
2014,LT,16.0,14.3,Lithuania,-3,1.1188811188811187,17
2015,LT,13.0,14.1,Lithuania,-2,0.9219858156028369,17
2016,LT,20.0,14.5,Lithuania,-1,1.3793103448275863,17
2017,LT,27.0,15.3,Lithuania,0,1.7647058823529411,17
2018,LT,15.0,15.4,Lithuania,1,0.974025974025974,17
2019,LT,9.0,16.9,Lithuania,2,0.5325443786982249,17
2020,LT,9.0,15.5,Lithuania,3,0.5806451612903226,17
2021,LT,11.0,14.8,Lithuania,4,0.7432432432432432,17
2022,LT,7.0,11.9,Lithuania,5,0.5882352941176471,17
2023,LT,11.0,11.3,Lithuania,6,0.9734513274336283,17
2024,LT,11.0,10.492,Lithuania,7,1.0484178421654593,17
2010,LU,3.0,8.2,Luxembourg,-7,0.3658536585365854,18
2011,LU,1.0,8.9,Luxembourg,-6,0.11235955056179775,18
2012,LU,0.0,8.8,Luxembourg,-5,0.0,18
2013,LU,3.0,9.0,Luxembourg,-4,0.3333333333333333,18
